Time (s),HbO_avg,HbR_avg,Stim?
381.66,-2.929989397445239e-06,-4.824745243349557e-06,1
381.68,-2.703413583692996e-06,-4.627789912022519e-06,1
381.7,-2.483942481521103e-06,-4.426751887970383e-06,1
381.72,-2.2718619645202e-06,-4.219558667988433e-06,1
381.74,-2.0677298105674007e-06,-4.004946181365491e-06,1
381.76,-1.8708763733120274e-06,-3.781330589610998e-06,1
381.78000000000003,-1.6801695096481257e-06,-3.5475178274842787e-06,1
381.8,-1.4964361676753976e-06,-3.3036828939742436e-06,1
381.82,-1.3192162954939438e-06,-3.0503085117806216e-06,1
381.84000000000003,-1.1482187331030477e-06,-2.785923435379375e-06,1
381.86,-9.833696987624463e-07,-2.508811764887192e-06,1
381.88,-8.23436814962497e-07,-2.2194465299824337e-06,1
381.90000000000003,-6.686767973448162e-07,-1.9179457275064197e-06,1
381.92,-5.182238049167097e-07,-1.6031879899365325e-06,1
381.94,-3.718424312704685e-07,-1.2780720708707175e-06,1
381.96,-2.2767009626369534e-07,-9.389315853620992e-07,1
381.98,-8.671962025867303e-08,-5.849387884960175e-07,1
382.0,5.217843012962283e-08,-2.173231795839978e-07,1
382.02,1.8841688643734886e-07,1.61792662860884e-07,1
382.04,3.230508386229343e-07,5.529647319995147e-07,1
382.06,4.5667933674702484e-07,9.562944156453794e-07,1
382.08,5.889918175567257e-07,1.3699056534798601e-06,1
382.1,7.207724636523964e-07,1.7934234309964018e-06,1
382.12,8.531218316029522e-07,2.224128858426078e-06,1
382.14,9.855724821890563e-07,2.662403376235554e-06,1
382.16,1.1183317022804829e-06,3.102932922950578e-06,1
382.18,1.2517044629554005e-06,3.549687090478282e-06,1
382.2,1.3855834916162087e-06,3.998109951082524e-06,1
382.22,1.5204195969093568e-06,4.4473710388737434e-06,1
382.24,1.6561748684188042e-06,4.89483588184142e-06,1
382.26,1.7930624477084409e-06,5.338365265717582e-06,1
382.28000000000003,1.931577696044775e-06,5.777919002574621e-06,1
382.3,2.070895674529948e-06,6.2101280140983975e-06,1
382.32,2.2108759056317075e-06,6.632952062748559e-06,1
382.34000000000003,2.3514191288710853e-06,7.044139452547082e-06,1
382.36,2.4921423602615428e-06,7.442645992122436e-06,1
382.38,2.6331842404393323e-06,7.825205841078105e-06,1
382.40000000000003,2.773419179264731e-06,8.190745478663759e-06,1
382.42,2.913220154213841e-06,8.5369288382884e-06,1
382.44,3.0523502342745355e-06,8.863792613101801e-06,1
382.46000000000004,3.1892632728639358e-06,9.169633887777798e-06,1
382.48,3.3239260722069337e-06,9.45154773587382e-06,1
382.5,3.4566802608279453e-06,9.710950329153338e-06,1
382.52,3.5870976326634324e-06,9.945034025358669e-06,1
382.54,3.714417062246599e-06,1.015118102680216e-05,1
382.56,3.838809131359235e-06,1.0328984930063157e-05,1
382.58,3.958825529777819e-06,1.0480080292607498e-05,1
382.6,4.074203285771002e-06,1.0601707116891773e-05,1
382.62,4.185388218112069e-06,1.0693014051669161e-05,1
382.64,4.2919274394366045e-06,1.0755010171120771e-05,1
382.66,4.391725667794815e-06,1.078717806164716e-05,1
382.68,4.4858126054634365e-06,1.0791392198248215e-05,1
382.7,4.573765827733527e-06,1.0766484580085126e-05,1
382.72,4.655603463139829e-06,1.0712398338744493e-05,1
382.74,4.730291027387289e-06,1.0631078534312502e-05,1
382.76,4.797822243868079e-06,1.0523038141688762e-05,1
382.78000000000003,4.85833598875914e-06,1.0389715288513817e-05,1
382.8,4.911253186949065e-06,1.0231509484779404e-05,1
382.82,4.956971525297264e-06,1.004978195572218e-05,1
382.84000000000003,4.995263388222238e-06,9.847835979374239e-06,1
382.86,5.02591618683719e-06,9.624077004715592e-06,1
382.88,5.049885178826649e-06,9.385357267695648e-06,1
382.90000000000003,5.066659509935951e-06,9.127843480738108e-06,1
382.92,5.076563740513899e-06,8.856344294194506e-06,1
382.94,5.079767490371525e-06,8.575286816702936e-06,1
382.96000000000004,5.07551549637984e-06,8.28197028477843e-06,1
382.98,5.06561390044642e-06,7.981271480480017e-06,1
383.0,5.04888486124888e-06,7.67655749928226e-06,1
383.02,5.027922266220214e-06,7.367749864100776e-06,1
383.04,5.002778558693102e-06,7.059422896471859e-06,1
383.06,4.972922323290653e-06,6.753432153171936e-06,1
383.08,4.939646941192301e-06,6.449822979538845e-06,1
383.1,4.902366721765586e-06,6.150324260627744e-06,1
383.12,4.862172270348144e-06,5.8590968665636714e-06,1
383.14,4.820459569899991e-06,5.573791130559755e-06,1
383.16,4.776663726511887e-06,5.297331431354253e-06,1
383.18,4.731750788249173e-06,5.031664051071449e-06,1
383.2,4.686548763508499e-06,4.778803618201471e-06,1
383.22,4.640675157256126e-06,4.54202217944179e-06,1
383.24,4.595214697456483e-06,4.317941752597583e-06,1
383.26,4.550559660987796e-06,4.109334443850386e-06,1
383.28000000000003,4.506501655126956e-06,3.916311954678063e-06,1
383.3,4.464500729883448e-06,3.7393937981412375e-06,1
383.32,4.424655327578729e-06,3.579250674632878e-06,1
383.34000000000003,4.3870993337068735e-06,3.437592438281944e-06,1
383.36,4.352040540253065e-06,3.314581389637585e-06,1
383.38,4.320600285505188e-06,3.2074510660571463e-06,1
383.40000000000003,4.291612867393111e-06,3.1174508337655417e-06,1
383.42,4.265775817663397e-06,3.043465585335602e-06,1
383.44,4.2431866118027705e-06,2.983385914728797e-06,1
383.46000000000004,4.224754175015782e-06,2.9379590223284864e-06,1
383.48,4.209523267004739e-06,2.9055876644335978e-06,1
383.5,4.1983164760968575e-06,2.8860074228808897e-06,1
383.52,4.190723473966142e-06,2.8782469744299456e-06,1
383.54,4.186397322402243e-06,2.881924987662205e-06,1
383.56,4.18527584228573e-06,2.8946076933056138e-06,1
383.58,4.186051237028731e-06,2.916307611893614e-06,1
383.6,4.189920202774583e-06,2.9451431855962064e-06,1
383.62,4.196022521443075e-06,2.9755981997913167e-06,1
383.64,4.20362701096276e-06,3.0103511524657337e-06,1
383.66,4.211747563350685e-06,3.048216123151374e-06,1
383.68,4.220868082024096e-06,3.0844693219742864e-06,1
383.7,4.2300499188766395e-06,3.119860864124502e-06,1
383.72,4.238556526386905e-06,3.1531982367461565e-06,1
383.74,4.24627542891368e-06,3.182391130091196e-06,1
383.76,4.252346982299326e-06,3.206564123166936e-06,1
383.78000000000003,4.255595918855683e-06,3.226136803567808e-06,1
383.8,4.255938224394014e-06,3.2376150082945595e-06,1
383.82,4.253696947297642e-06,3.2408292866880187e-06,1
383.84000000000003,4.2473343141259925e-06,3.236918150622239e-06,1
383.86,4.236524937889728e-06,3.2240846821674265e-06,1
383.88,4.220701151720168e-06,3.2008524628248808e-06,1
383.90000000000003,4.199589283586472e-06,3.1670920608279215e-06,1
383.92,4.1718915249556895e-06,3.122520317774977e-06,1
383.94,4.1376061722490064e-06,3.067595008899233e-06,1
383.96000000000004,4.096050698214427e-06,3.0017759698635524e-06,1
383.98,4.04662831963165e-06,2.9222112859928233e-06,1
384.0,3.990536137214948e-06,2.8314841827746874e-06,1
384.02,3.926362453955808e-06,2.728772725107115e-06,1
384.04,3.854071188321708e-06,2.6156907160895047e-06,1
384.06,3.7736877867033024e-06,2.494010509071157e-06,1
384.08,3.6852395745845193e-06,2.36331847707553e-06,1
384.1,3.5871773752031947e-06,2.222590768921244e-06,1
384.12,3.4805333459262882e-06,2.0755878644819826e-06,1
