Time (s),HbO_avg,HbR_avg
240.18,-3.2814694668053726e-05,-2.8475768771840388e-05
240.20000000000002,-2.6158981018114534e-05,-2.8167154991697905e-05
240.22,-1.9418996646139935e-05,-2.779539100704464e-05
240.24,-1.2639501940708597e-05,-2.736695124551688e-05
240.26,-5.87309610626962e-06,-2.6887446645622944e-05
240.28,8.335116843029915e-07,-2.636322020308092e-05
240.3,7.428826185531959e-06,-2.5801446387907906e-05
240.32,1.3872281048723525e-05,-2.520934404101966e-05
240.34,2.012774365771692e-05,-2.4594540318412688e-05
240.36,2.6142415355378287e-05,-2.3963583929743772e-05
240.38,3.188206279721621e-05,-2.332346728057282e-05
240.4,3.728683950031946e-05,-2.268025793015822e-05
240.42000000000002,4.2340135735674414e-05,-2.203818924674054e-05
240.44,4.699322251988776e-05,-2.14046928655601e-05
240.46,5.1211638264484486e-05,-2.0785233079057325e-05
240.48000000000002,5.4979465005424306e-05,-2.0184652577725563e-05
240.5,5.8265980173018425e-05,-1.9609402750940676e-05
240.52,6.103730948953919e-05,-1.9061837072815847e-05
240.54,6.327732932090836e-05,-1.85472261544648e-05
240.56,6.497354676301437e-05,-1.8067420357560035e-05
240.58,6.611198323062305e-05,-1.7626243913624108e-05
240.6,6.666239064330272e-05,-1.722549247596492e-05
240.62,6.665335620312605e-05,-1.6866433039834044e-05
240.64000000000001,6.606550652646281e-05,-1.6551424140493348e-05
240.66,6.490441539924236e-05,-1.628110403047608e-05
240.68,6.317423813171185e-05,-1.6053937576488425e-05
240.70000000000002,6.0884912149025164e-05,-1.5868833951246185e-05
240.72,5.8056683525302156e-05,-1.5725319047695282e-05
240.74,5.470645252582315e-05,-1.562278698443612e-05
240.76,5.0839615045499975e-05,-1.556077976111523e-05
240.78,4.648408881649237e-05,-1.5534941364769106e-05
240.8,4.165732159264332e-05,-1.5542634755940722e-05
240.82,3.640716415408273e-05,-1.5580538642866428e-05
240.84,3.076181460970639e-05,-1.564610635220086e-05
240.86,2.4747311528567685e-05,-1.5734509050248588e-05
240.88,1.8406431203149687e-05,-1.5842164279761942e-05
240.9,1.1779601180445984e-05,-1.5965468722185956e-05
240.92000000000002,4.890638214552986e-06,-1.6100819562446972e-05
240.94,-2.2084445697990546e-06,-1.6245363810210542e-05
240.96,-9.474845154123292e-06,-1.6392516581859467e-05
240.98000000000002,-1.6856449572724e-05,-1.654079466117087e-05
241.0,-2.431399689875938e-05,-1.6686430605681184e-05
241.02,-3.18132906008404e-05,-1.682328389623139e-05
241.04,-3.9292988191335356e-05,-1.694786310326409e-05
241.06,-4.672622376065214e-05,-1.7059556189407282e-05
241.08,-5.4070082331702046e-05,-1.715513584641524e-05
241.1,-6.125882347649801e-05,-1.723125248320837e-05
241.12,-6.827707548667232e-05,-1.72852485521352e-05
241.14000000000001,-7.507558575388174e-05,-1.731584824275611e-05
241.16,-8.161931855048238e-05,-1.7322068650561813e-05
241.18,-8.786523107029884e-05,-1.7303475745944247e-05
241.20000000000002,-9.378424533303557e-05,-1.725972794439189e-05
241.22,-9.933891299862666e-05,-1.718944562407988e-05
241.24,-0.00010449590437822996,-1.709089919343663e-05
241.26,-0.00010923425878831381,-1.696819430626895e-05
241.28,-0.00011353387869982366,-1.6821145535747943e-05
241.3,-0.0001173643636775876,-1.6648861263850952e-05
241.32,-0.00012071590860474948,-1.6455601645400296e-05
241.34,-0.00012355592178554204,-1.624149266291554e-05
241.36,-0.00012588230203789438,-1.6010660706745663e-05
241.38,-0.00012767845886180139,-1.5764880168047387e-05
241.4,-0.00012895378116475718,-1.5506339794659295e-05
241.42000000000002,-0.00012969993985268222,-1.5239648076601296e-05
241.44,-0.0001299118435496895,-1.4967921848573345e-05
241.46,-0.00012958294862568679,-1.4692953183308588e-05
241.48000000000002,-0.0001287382344516252,-1.4419581815990036e-05
241.5,-0.0001273770632177661,-1.4150453870542795e-05
241.52,-0.00012552583838264976,-1.3890327338129146e-05
241.54,-0.00012318686004961213,-1.3641354051937531e-05
241.56,-0.00012037686171790595,-1.3406870054505422e-05
241.58,-0.00011710638940277797,-1.3190809061187748e-05
241.6,-0.00011341404171677494,-1.2995962345431652e-05
241.62,-0.00010931025288216316,-1.2823419175883615e-05
241.64000000000001,-0.00010482940299750365,-1.2679599808131814e-05
241.66,-0.00010000365260859996,-1.2563816165164329e-05
241.68,-9.48506327556059e-05,-1.2479400452809292e-05
241.70000000000002,-8.941443138729455e-05,-1.2429157017759633e-05
241.72,-8.371783079467325e-05,-1.241346370380567e-05
241.74,-7.780761040442478e-05,-1.243155966410041e-05
241.76,-7.16981875697645e-05,-1.2485367235747301e-05
241.78,-6.545234302896818e-05,-1.2576591525824557e-05
241.8,-5.906260364000611e-05,-1.270389582843831e-05
241.82,-5.258783595654947e-05,-1.2868253947919714e-05
241.84,-4.607399777592921e-05,-1.3067960899770602e-05
241.86,-3.9548266297548935e-05,-1.329977367109885e-05
241.88,-3.302407948462146e-05,-1.3562803533835937e-05
241.9,-2.6539643636250428e-05,-1.3857114140147835e-05
241.92000000000002,-2.0136203808370708e-05,-1.4177898906230879e-05
241.94,-1.3826152459070338e-05,-1.452233761857231e-05
241.96,-7.680453253685175e-06,-1.4888998569013909e-05
241.98000000000002,-1.7082922518866836e-06,-1.5273104003684287e-05
242.0,4.0837871915492174e-06,-1.5670911188894584e-05
242.02,9.645682849300179e-06,-1.6079109320494897e-05
242.04,1.4960418194625663e-05,-1.649369023342428e-05
242.06,2.0008671795388912e-05,-1.6909411248577425e-05
242.08,2.4770864029918446e-05,-1.732623896470046e-05
242.1,2.9233760591338314e-05,-1.7736753585750308e-05
242.12,3.336099666399707e-05,-1.813840825077742e-05
242.14000000000001,3.7159279585396814e-05,-1.852645622474784e-05
242.16,4.059002111073072e-05,-1.8898546731146868e-05
242.18,4.3647572819898554e-05,-1.924995753443388e-05
